source_center,destination_center,leg_count,median_delay_ratio,mean_delay_ratio,p75_delay_ratio,median_actual_minutes,median_osrm_minutes,median_osrm_km,total_excess_minutes,late_rate,ftl_share
IND560099AAB,IND560300AAA,81,1.9298245614035088,2.0468007129865358,2.537037037037037,110.0,58.0,53.1806,1009.636474908201,0.4444444444444444,0.0
IND560099AAB,IND562132AAA,83,1.5555555555555556,1.7125264035441667,1.9912280701754386,86.0,57.0,46.4863,865.5709595959597,0.3253012048192771,0.30120481927710846
IND560099AAB,IND632006AAA,8,1.3705882352941177,1.4322620984319248,1.5059714795008914,233.0,168.0,198.33884999999998,0.0,0.0,1.0
IND560099AAB,IND635001AAA,4,2.1180266031367876,2.048903007450747,2.2328263497179694,150.5,68.5,71.2072,2.4979198376458953,0.25,1.0
IND560099AAB,IND683511AAA,14,1.6381190659481653,1.6434823123290578,1.7019021041827047,710.0,432.0,472.08050000000003,85.87792397660826,0.07142857142857142,1.0
IND560300AAA,IND560002AAA,13,1.0909090909090908,1.3754417151475975,1.2727272727272727,35.0,33.0,32.0947,83.05,0.23076923076923078,0.0
IND560300AAA,IND560043AAC,22,1.21875,1.480374122456234,1.653225806451613,38.5,31.5,29.95935,128.62118055555558,0.3181818181818182,0.0
IND560300AAA,IND560058AAB,26,1.343137254901961,1.4684665537606714,1.8014705882352942,46.0,34.5,31.3395,96.39399114484513,0.3076923076923077,0.0
IND560300AAA,IND560078AAC,9,2.6666666666666665,2.781176647030305,3.1904761904761907,112.0,41.0,40.0796,85.35000000000007,0.4444444444444444,0.0
IND560300AAA,IND560085AAA,12,1.4928876244665719,1.6876507146243986,1.7683143669985775,56.0,37.5,36.6518,68.37419462806461,0.16666666666666666,0.0
IND560300AAA,IND560099AAB,61,2.4642857142857144,2.4005176265935058,3.1272727272727274,136.0,57.0,53.2807,611.6940476190473,0.39344262295081966,0.0
IND560300AAA,IND562132AAA,73,1.82,2.0586020329376575,2.26,91.0,50.0,40.6066,959.0900769230766,0.3150684931506849,0.0
IND560300AAA,IND563101AAB,5,1.9661016949152543,1.9860990107582743,2.0,110.0,55.0,64.2559,17.974576271186464,0.2,0.0
IND560300AAB,IND563101AAB,9,1.7413793103448276,1.7438247858723726,1.7454545454545454,100.0,58.0,66.9706,0.0,0.0,0.0
